Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Dreamer Late Harvest Cabernet Sauvignon vein 12,5%vol 750ml;750.0;12.5;93.75;15.651;Prisma;5.99;2025-04-16 15:25:00;https://ostukorvid.ee/tooted/0ca7cf83-0ddb-48fd-bd74-114a1d712792/dreamer-late-harvest-cabernet-sauvignon-vein-125percentvol-750ml
Kaitstud päritolunimetusega vein Elegido Moscatel-Macabeo 12%vol 0,75l;750.0;12.0;90.0;15.544;Rimi;5.79;2025-11-12 09:22:00;https://ostukorvid.ee/tooted/60332fed-d5dc-4f9d-86fe-35f036175486/kaitstud-paritolunimetusega-vein-elegido-moscatel-macabeo-12percentvol-075l
Aromatiseeritud veinijook GLÜHWEIN, alk. 8,5% vol.;1000.0;8.5;85.0;15.483;Maxima;5.49;2025-11-12 05:26:00;https://ostukorvid.ee/tooted/ee0fe6f7-7294-4068-b4d9-fc6b98c227d0/aromatiseeritud-veinijook-gluhwein-alk-85percent-vol
Garling Muscat Semi Sweet vein 12%vol 750ml;750.0;12.0;90.0;15.332;Kaupmees;5.87;2025-11-12 06:22:00;https://ostukorvid.ee/tooted/b378ad25-6608-43c4-a1eb-215196ffee94/garling-muscat-semi-sweet-vein-12percentvol-750ml
Vein LUCIENTE Semi Sw.Ros.'18 12% 750ml;750.0;12.0;90.0;15.28;Maxima;5.89;2025-11-12 06:19:00;https://ostukorvid.ee/tooted/dd8dd79c-0a89-4724-b06e-6166968f64ad/vein-luciente-semi-swros18-12percent-750ml
Stony Ocean Camps Bay Pink GT vein 12,5%vol 750ml;750.0;12.5;93.75;15.269;Hinnapomm;6.14;2025-11-12 07:19:00;https://ostukorvid.ee/tooted/41091170-957f-4409-b38b-9a2d80ebfabc/stony-ocean-camps-bay-pink-gt-vein-125percentvol-750ml
Inycon Settesoli Pinot Grigio Organic KPN vein 12,5%vol 3L;3000.0;12.5;375.0;15.127;Prisma;24.79;2025-04-16 15:25:00;https://ostukorvid.ee/tooted/090431f0-ad23-4c12-8c83-250e320b90a5/inycon-settesoli-pinot-grigio-organic-kpn-vein-125percentvol-3l
Puuv.vahuvein COSMOPOLITAN Diva 6% 750ml;750.0;6.0;45.0;15.05;Maxima;2.99;2025-11-12 05:22:00;https://ostukorvid.ee/tooted/2179c569-c51e-44bc-b8b3-c02a428751d8/puuvvahuvein-cosmopolitan-diva-6percent-750ml
Puuv.vahuvein COSMO.Diva Berry 6% 750ml;750.0;6.0;45.0;15.05;Maxima;2.99;2025-11-12 05:23:00;https://ostukorvid.ee/tooted/f3d5019f-f120-4ba2-80be-e4d1f774bcec/puuvvahuvein-cosmodiva-berry-6percent-750ml
Aromatiseeritud veinijook Bellissimo Sobor 11% 0,75l;750.0;11.0;82.5;15.027;Rimi;5.49;2025-11-12 08:19:00;https://ostukorvid.ee/tooted/cf61b1a4-a9c5-4c9d-abb9-06a879485dae/aromatiseeritud-veinijook-bellissimo-sobor-11percent-075l
