Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Perry SOMERSBY Pirni siider 4.5% 330ml;330.0;4.5;14.85;9.34;Maxima;1.59;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/d34fa551-ec05-40a5-bf5c-5daf7768d9d7/perry-somersby-pirni-siider-45percent-330ml
Siider REKORDERLIG maasik.-laim4.5%500ml;500.0;4.5;22.5;9.184;Maxima;2.45;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/d55641f7-caa9-4180-ab84-b2aa43effae7/siider-rekorderlig-maasik-laim45percent500ml
Siider REKORDERLIG metsamarja 4.5%500ml;500.0;4.5;22.5;9.184;Maxima;2.45;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/09559337-5a4b-425d-84a1-dc268103bee9/siider-rekorderlig-metsamarja-45percent500ml
Siider REKORDERLIG passiooni 4.5% 500ml;500.0;4.5;22.5;9.184;Maxima;2.45;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/363b1798-59a0-4536-88ea-2d2065ec7044/siider-rekorderlig-passiooni-45percent-500ml
MAGNERS Siider Original 4,5% 50cl (purk);500.0;4.5;22.5;9.073;Kaupmees;2.48;2025-11-12 06:46:00;https://ostukorvid.ee/tooted/6a4cdf85-7cea-4544-982f-e216b974278f/magners-siider-original-45percent-50cl-purk
Siider Rekorderlig Cider Mango-Raspberry 4,5%vol 0,5l prk;500.0;4.5;22.5;9.036;Rimi;2.49;2025-11-12 07:45:00;https://ostukorvid.ee/tooted/2513ac12-af54-44d4-a108-2492d7d89fe6/siider-rekorderlig-cider-mango-raspberry-45percentvol-05l-prk
Siider Rekorderlig Cider Wildberries 4,5%vol 0,5l prk;500.0;4.5;22.5;9.036;Rimi;2.49;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/d43b13a8-9e2a-444b-810a-b2190eb25604/siider-rekorderlig-cider-wildberries-45percentvol-05l-prk
Siider Rekorderlig Cider Strawberry-Lime 4,5%vol 0,5l prk;500.0;4.5;22.5;9.036;Rimi;2.49;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/27bf1a74-c79f-4676-b0ea-d341ccde7277/siider-rekorderlig-cider-strawberry-lime-45percentvol-05l-prk
ABAVAS Siider Grapefruit Medium Dry 5% 33cl (purk);330.0;5.0;16.5;8.919;Kaupmees;1.85;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/64d431bc-f213-462f-ad1a-8c7427159c6e/abavas-siider-grapefruit-medium-dry-5percent-33cl-purk
ABAVAS Siider Nordic Floral Medium Dry 5% 33cl (purk);330.0;5.0;16.5;8.919;Kaupmees;1.85;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/d50560af-ed0f-4f5b-a0a9-dd583682e242/abavas-siider-nordic-floral-medium-dry-5percent-33cl-purk
